Order ID,Order Date,Customer Name,Category,Product Name,Sales,Profit,Quantity,Discount,City,State
ORD100046,2023-04-29,Sneha Patel,Technology,Keyboard,239.37,40.32,6,0.25,Pune,Maharashtra
ORD100047,2024-03-22,Aisha Singh,Furniture,Bookshelf,4502.55,-65.13,1,0.25,Kolkata,West Bengal
ORD100048,2023-01-02,Nisha Singh,Technology,Mouse,1852.9,,6,0.2,Pune,Maharashtra
ORD100049,2024-11-10,Diya Das,Office Supplies,Stapler,1580.96,132.45,7,0.25,Chennai,Tamil Nadu
ORD100050,2024-07-21,Ananya Patel,Office Supplies,Binder,3402.72,1042.13,10,0.2,Chennai,Tamil Nadu
ORD100051,2024-02-20,Vikram Sharma,Office Supplies,Paper,1090.4,276.52,10,0.25,Pune,Maharashtra
ORD100052,,Kavya Kumar,Technology,Mouse,2580.31,663.61,3,0.25,Mumbai,Maharashtra
ORD100053,2023-10-18,Nisha Das,Technology,Printer,1709.18,458.56,4,0.25,Chennai,Tamil Nadu
ORD100054,2023-08-19,Priya Patel,Furniture,Chair,1261.97,143.63,2,0.15,Kolkata,West Bengal
ORD100055,2024-10-06,Pooja Patel,Technology,Monitor,2497.17,24.45,1,0.3,Mumbai,Maharashtra
ORD100056,2025-03-08,Meera Patel,Furniture,Sofa,2349.52,354.38,2,0.15,Delhi,Delhi
ORD100057,2025-03-31,Kavya Das,Technology,Printer,2997.49,981.73,8,0.2,Jaipur,Rajasthan
ORD100058,2024-03-12,Vikram Kumar,Furniture,Bookshelf,2277.85,542.81,5,0.3,Jaipur,Rajasthan
ORD100059,2024-05-11,Manoj Reddy,Office Supplies,Notebook,3582.05,19.78,6,0.1,Jaipur,Rajasthan
ORD100060,2023-03-24,Ananya Patel,Furniture,Bookshelf,3485.05,759.35,2,0.15,Kolkata,West Bengal
ORD100061,2023-12-05,Vikram Kumar,Office Supplies,Notebook,1073.83,95.64,10,0.25,Bengaluru,Karnataka
ORD100062,2025-05-27,Pooja Kumar,Office Supplies,Notebook,4716.57,162.14,7,0.3,Kolkata,West Bengal
ORD100063,2024-07-05,Vikram Singh,Furniture,Bookshelf,1136.14,109.21,1,0.15,Pune,Maharashtra
ORD100064,2024-11-15,Arjun Das,Furniture,Bookshelf,4601.73,1570.68,9,0,Kolkata,West Bengal
ORD100065,2024-08-29,Pooja Das,Furniture,Chair,3231.61,-125.82,8,0.05,Bengaluru,Karnataka
ORD100066,2023-09-24,Arjun Reddy,Furniture,Bookshelf,1667.89,404.55,7,0.1,Kolkata,West Bengal
ORD100067,2023-09-16,Aditya Kumar,Furniture,Sofa,307.82,101.08,4,0.25,Mumbai,Maharashtra
ORD100068,2025-03-10,Vivaan Sharma,Furniture,Table,4204.18,755.08,4,0.05,Ahmedabad,Gujarat
ORD100069,2024-11-16,Diya Singh,Furniture,Bookshelf,3512.35,860.89,3,0.2,Lucknow,Uttar Pradesh
ORD100070,2025-02-04,Diya Patel,Office Supplies,Notebook,2914.49,926.81,10,0.25,Kolkata,West Bengal
ORD100071,2024-02-11,Priya Sharma,Technology,Mouse,554.41,137.28,10,0.3,Mumbai,Maharashtra
ORD100072,2025-03-26,Pooja Sharma,Office Supplies,Stapler,2170.47,144.89,9,0.25,Pune,Maharashtra
ORD100073,2023-01-13,Meera Kumar,Furniture,Bookshelf,4805.9,893.96,8,0.25,Delhi,Delhi
ORD100074,2024-03-21,Rohan Das,Technology,Keyboard,3098.77,972.48,8,0.15,Kolkata,West Bengal
ORD100075,2025-04-25,Pooja Reddy,Office Supplies,Pen,4162.12,-253.9,8,0.05,Ahmedabad,Gujarat
ORD100076,2024-08-06,Aisha Das,Office Supplies,Paper,192.06,54.34,3,0.15,Hyderabad,Telangana
ORD100077,2023-12-30,Sneha Reddy,Office Supplies,Stapler,3520.86,85.63,1,0.2,Hyderabad,Telangana
ORD100078,2023-03-29,Manoj Das,Office Supplies,Binder,2798.12,22.79,8,0.25,Ahmedabad,Gujarat
ORD100079,2024-04-03,Aarav Sharma,Office Supplies,Pen,2051.79,19.47,10,0.1,Ahmedabad,Gujarat
ORD100080,2024-07-20,Nisha Reddy,Office Supplies,Stapler,1687.42,364.96,5,0.1,Chennai,Tamil Nadu
ORD100081,2023-08-25,Diya Das,Furniture,Desk,641.8,90.58,3,0.05,Hyderabad,Telangana
ORD100082,2025-01-26,Sanjay Reddy,Technology,Printer,4884.2,664.67,5,0,Hyderabad,Telangana
ORD100083,2023-10-31,Manoj Reddy,Furniture,Desk,120.03,16.85,5,0,Bengaluru,Karnataka
ORD100084,2024-07-20,Rahul Das,Furniture,Bookshelf,557.81,-52.7,5,0.15,Ahmedabad,Gujarat
ORD100085,2024-03-27,Kiran Patel,Furniture,Desk,4708.26,541.35,2,0.15,Ahmedabad,Gujarat
ORD100086,2023-03-17,Pooja Das,Technology,Laptop,801.05,212.29,5,0,Hyderabad,Telangana
ORD100087,2023-05-02,Vikram Kumar,Technology,Printer,3964.17,6.18,9,0.15,Ahmedabad,Gujarat
ORD100088,2024-03-29,Rahul Singh,Office Supplies,Paper,2864.72,-208.83,2,0.3,Hyderabad,Telangana
ORD100089,2024-10-02,Priya Reddy,Technology,Laptop,827.43,-18.02,2,0.05,Bengaluru,Karnataka
ORD100090,2024-02-23,Kavya Das,Technology,Monitor,1491.73,6.21,5,0.25,Ahmedabad,Gujarat
ORD100091,2023-03-14,Manoj Reddy,Technology,Printer,3322.86,1063.82,7,0,Jaipur,Rajasthan
ORD100092,2023-08-19,Ananya Reddy,Furniture,Chair,345.21,88.61,10,0.25,Lucknow,Uttar Pradesh
ORD100093,2023-10-23,Kavya Sharma,Office Supplies,Paper,3513.68,1139.15,9,,Ahmedabad,Gujarat
ORD100094,2024-03-24,Aditya Singh,Furniture,Bookshelf,3685.94,632.77,1,0,Hyderabad,Telangana
ORD100095,2024-11-21,Pooja Singh,Furniture,Desk,2902.42,706.45,3,0.15,Jaipur,Rajasthan
ORD100096,2024-10-29,Kavya Reddy,Furniture,Sofa,2207.63,588.14,2,0.15,Pune,Maharashtra
ORD100097,2024-02-23,Kiran Reddy,Technology,Laptop,4295.78,207.97,8,0.1,Kolkata,West Bengal
ORD100098,2025-04-13,Vikram Sharma,Office Supplies,Notebook,1606.86,73.07,7,0.3,Jaipur,Rajasthan
ORD100099,2025-04-24,Aarav Das,,Monitor,2095.58,-32.67,6,0.2,Ahmedabad,Gujarat
ORD100100,2024-10-02,Kavya Sharma,Furniture,Desk,2768.64,878.91,8,0.25,Ahmedabad,Gujarat
ORD100100,2024-10-02,Kavya Sharma,Furniture,Desk,2768.64,878.91,8,0.25,Ahmedabad,Gujarat
ORD100102,2023-04-06,Manoj Sharma,Office Supplies,Notebook,3256.16,-100.01,5,0.2,Chennai,Tamil Nadu
ORD100103,2024-03-01,Sanjay Kumar,Furniture,Bookshelf,2778.76,201.78,10,0.2,Delhi,Delhi
ORD100104,2025-06-03,Aditya Reddy,Office Supplies,Paper,4674.53,600.59,1,0.1,Chennai,Tamil Nadu
ORD100105,2025-05-07,Pooja Singh,Technology,Monitor,4333.04,437.4,8,0.1,Pune,Maharashtra
ORD100106,2024-07-19,Vikram Kumar,Office Supplies,Paper,4354.53,1486.41,4,0.2,Kolkata,West Bengal
ORD100107,2023-08-28,Meera Sharma,Office Supplies,Binder,3540.88,938.81,7,0.25,Delhi,Delhi
ORD100107,2023-08-28,Meera Sharma,Office Supplies,Binder,3540.88,938.81,7,0.25,,Delhi
ORD100109,2024-04-12,Aarav Das,Furniture,Bookshelf,4361.12,1467.43,2,0.15,Chennai,Tamil Nadu
,2024-04-12,Aarav Das,Furniture,Bookshelf,4361.12,1467.43,2,0.15,Chennai,Tamil Nadu
ORD100111,2024-10-03,Sanjay Singh,Furniture,Sofa,388.68,71.53,5,0.05,Mumbai,Maharashtra
ORD100112,2024-03-20,Diya Das,Technology,Laptop,2246.21,476.87,1,0,Pune,Maharashtra
ORD100113,2025-03-26,Vivaan Reddy,Office Supplies,Paper,2181.9,21.58,7,0.2,Delhi,Delhi
ORD100114,2023-06-24,Rohan Sharma,Technology,Monitor,3117.57,26.1,10,0.05,Hyderabad,Telangana
ORD100115,2024-04-17,Sneha Kumar,Office Supplies,Notebook,4499.6,492.09,5,0.25,Jaipur,Rajasthan
ORD100116,2023-06-11,Aditya Kumar,Office Supplies,Stapler,1530.81,509.63,5,0.15,Chennai,Tamil Nadu
ORD100117,2023-07-23,Arjun Kumar,Furniture,Table,1937.75,119.23,5,0.25,Chennai,Tamil Nadu
ORD100118,2023-01-23,Arjun Reddy,Furniture,Sofa,4332.08,1084.06,1,0.2,Ahmedabad,Gujarat
ORD100119,2025-05-02,Rahul Patel,Technology,Keyboard,1134.07,-16.38,5,0.25,Delhi,Delhi
ORD100120,2024-10-05,Diya Das,Technology,Laptop,1579.22,155.35,10,0.1,Delhi,Delhi
ORD100121,2023-04-03,Rahul Reddy,Technology,Monitor,919.42,-37.26,9,0.1,Jaipur,Rajasthan
ORD100122,2024-05-28,Sneha Patel,Office Supplies,Binder,4838.55,158.77,6,0.3,Mumbai,Maharashtra
ORD100123,2024-04-24,Aditya Patel,Furniture,Bookshelf,4837.99,1267.87,6,0,Kolkata,West Bengal
ORD100124,2023-01-15,Sneha Singh,Furniture,Bookshelf,1874.5,,5,0.2,Kolkata,West Bengal
ORD100125,2025-04-22,Neha Sharma,Technology,Mouse,2383.81,426.22,9,0.1,Lucknow,Uttar Pradesh
ORD100126,2023-08-15,Aditya Das,Office Supplies,Paper,3263.74,-155.01,1,0,Chennai,Tamil Nadu
ORD100127,2024-05-19,Diya Sharma,Furniture,Sofa,721.54,75.14,9,0.15,Lucknow,Uttar Pradesh
ORD100128,2025-01-30,Ananya Kumar,Technology,Laptop,4176.78,739.47,5,0,Pune,Maharashtra
ORD100129,2023-08-11,Kavya Kumar,Furniture,Desk,541.81,113,9,0.25,Pune,Maharashtra
ORD100130,2023-03-04,Arjun Reddy,Furniture,Chair,4747.6,1286.06,2,0.25,Hyderabad,Telangana
ORD100130,2023-03-04,Arjun Reddy,Furniture,Chair,4747.6,1286.06,2,0.25,Hyderabad,Telangana
ORD100132,2025-04-29,Vikram Patel,Technology,Mouse,4074.61,19.76,3,0.3,Lucknow,Uttar Pradesh
ORD100133,2023-01-03,Sneha Patel,Furniture,Sofa,1290.74,-27.72,1,0.05,Bengaluru,Karnataka
ORD100134,2024-01-02,Manoj Singh,Office Supplies,Notebook,912.52,-69.74,7,0.2,Mumbai,Maharashtra
ORD100135,2025-02-02,Aditya Kumar,Office Supplies,Paper,2590.53,-131.92,9,0.05,Lucknow,Uttar Pradesh
ORD100136,2023-02-14,Nisha Reddy,Office Supplies,Notebook,351.09,40.57,7,0.15,Mumbai,Maharashtra
ORD100137,2024-05-17,Kavya Sharma,Furniture,Desk,3061.07,-215.63,5,0.2,Lucknow,Uttar Pradesh
ORD100138,2024-07-15,Kiran Kumar,Technology,Printer,1509.74,192.49,7,0,Mumbai,Maharashtra
ORD100139,2025-05-23,Vikram Das,Furniture,Bookshelf,2285.2,6.45,6,0.3,Ahmedabad,Gujarat
ORD100140,2024-02-13,Meera Das,Furniture,Desk,2162.48,430.98,6,0.05,Ahmedabad,Gujarat
ORD100141,2023-03-10,Aditya Sharma,Furniture,Bookshelf,527.99,122.74,3,0.2,Bengaluru,Karnataka
ORD100142,2024-08-23,Vikram Singh,Office Supplies,Notebook,2083.5,610.72,7,0.3,Bengaluru,Karnataka
ORD100143,2023-10-22,Aisha Reddy,Office Supplies,Notebook,2910.7,-12.42,8,0.05,Mumbai,Maharashtra
ORD100144,2023-12-25,Vikram Reddy,Furniture,Desk,2891.8,761.27,9,0.3,Lucknow,Uttar Pradesh
ORD100145,2024-09-20,Vikram Sharma,Technology,Keyboard,193.32,4.44,5,0.1,Pune,Maharashtra
ORD100146,2023-01-07,Rohan Patel,Technology,Monitor,394.45,92.08,1,0,Jaipur,Rajasthan
ORD100147,2023-08-09,Arjun Kumar,Office Supplies,Paper,829.18,33.36,6,0.3,Lucknow,Uttar Pradesh
ORD100148,2024-09-02,Aditya Sharma,Furniture,Table,3784.46,-293.7,2,0.1,Ahmedabad,Gujarat
ORD100149,2024-11-08,Meera Kumar,Technology,Monitor,2100.21,-6.29,9,0,Pune,Maharashtra
ORD100150,2024-03-16,Diya Reddy,Technology,Printer,2458.83,492.28,1,0.05,Kolkata,West Bengal
ORD100151,2024-09-05,Vivaan Sharma,Furniture,Desk,4729.35,1160.14,5,0.1,Pune,Maharashtra
ORD100152,2023-05-03,Aarav Kumar,Technology,Monitor,919.69,65.38,4,0.2,Jaipur,Rajasthan
ORD100153,2025-05-03,Neha Sharma,Office Supplies,Notebook,2209.29,236.15,2,0.3,Pune,Maharashtra
ORD100154,2024-08-12,Meera Singh,Office Supplies,Binder,1483.1,122.01,6,0.05,Lucknow,Uttar Pradesh
ORD100155,2024-04-16,Neha Sharma,Office Supplies,Notebook,1254.42,206.97,9,0,Kolkata,West Bengal
ORD100156,2025-06-10,Rahul Das,Office Supplies,Pen,1698.69,-41.35,9,0.25,Mumbai,Maharashtra
ORD100157,2024-06-27,Nisha Patel,Office Supplies,Paper,3650.53,980.27,3,0.05,Mumbai,Maharashtra
ORD100158,2023-05-30,Sneha Patel,Furniture,Sofa,806.71,194.92,2,0.05,Ahmedabad,Gujarat
ORD100159,2024-04-20,Pooja Singh,Office Supplies,Stapler,3232.81,1111.89,6,0.3,Pune,Maharashtra
ORD100160,2023-06-04,Kavya Sharma,Office Supplies,Binder,3175.36,820.35,10,0,Pune,Maharashtra
ORD100161,2024-06-03,Aditya Reddy,Office Supplies,Binder,236.16,15.57,5,0,Mumbai,Maharashtra
ORD100162,2024-09-21,Aisha Singh,Office Supplies,Binder,2922.63,962.73,1,0.15,Lucknow,Uttar Pradesh
ORD100163,2024-10-29,Priya Reddy,Technology,Monitor,2531.77,837.95,8,0,Pune,Maharashtra
,2025-01-01,Aditya Singh,Technology,Mouse,243.75,53.24,8,0.2,Jaipur,Rajasthan
ORD100165,2024-09-16,Rohan Reddy,Office Supplies,Paper,1967.71,488.99,10,0,Pune,Maharashtra
ORD100166,2023-03-09,Kiran Sharma,Technology,Monitor,1456.53,328.71,10,0.3,Delhi,Delhi
ORD100167,2023-12-08,Aditya Singh,Technology,Mouse,4587.89,181.7,7,0.05,Lucknow,Uttar Pradesh
ORD100168,2024-12-26,Aditya Reddy,Technology,Monitor,3235.29,154.69,3,0.25,Jaipur,Rajasthan
ORD100169,2023-04-06,Meera Singh,Office Supplies,Notebook,1844.86,-34.83,4,0.1,Ahmedabad,Gujarat
ORD100170,2023-07-16,Manoj Patel,Furniture,Chair,1514.17,385.59,9,0.3,Jaipur,Rajasthan
ORD100171,2025-05-05,Nisha Sharma,Technology,Keyboard,4388.14,781.59,10,0.15,Delhi,Delhi
ORD100172,2023-06-16,Rohan Das,Technology,Mouse,3619.86,-290.81,6,0.25,Hyderabad,Telangana
ORD100173,2024-03-30,Aisha Reddy,Technology,Monitor,1208.31,9.21,8,0.3,Hyderabad,Telangana
ORD100174,2024-01-12,Pooja Kumar,Office Supplies,Paper,3901.71,492.82,7,0.05,Hyderabad,Telangana
ORD100175,2025-03-31,Aisha Patel,Office Supplies,Notebook,3223.84,945.72,9,0,Jaipur,Rajasthan
ORD100176,2025-05-21,Diya Reddy,Furniture,Table,1400.32,430.44,3,0.3,Kolkata,West Bengal
ORD100177,2023-04-04,Manoj Kumar,Office Supplies,Notebook,2103.74,164.94,6,0.05,Kolkata,West Bengal
ORD100178,2023-03-25,Neha Patel,Furniture,Desk,4657.59,1293.08,6,0.3,Delhi,Delhi
ORD100179,2023-05-21,Vivaan Reddy,Office Supplies,Pen,3806.26,422.87,10,0,Mumbai,Maharashtra
ORD100180,2023-01-20,Sneha Patel,Furniture,Sofa,4704.12,818.5,7,0,Chennai,Tamil Nadu
ORD100181,2023-09-01,Rahul Sharma,Furniture,Table,2128.14,547.47,8,0,Mumbai,Maharashtra
ORD100182,2025-05-06,Sanjay Singh,Technology,Laptop,3178.18,504.6,3,0.1,Kolkata,West Bengal
ORD100183,2023-01-02,Aisha Reddy,Furniture,Sofa,2112.01,420.22,2,0.2,Pune,Maharashtra
ORD100184,2023-03-11,Nisha Singh,Technology,Printer,2793.05,211.45,8,0,Kolkata,West Bengal
ORD100185,2024-01-18,Sneha Das,Furniture,Desk,3953.17,218.06,2,0.3,Lucknow,Uttar Pradesh
ORD100186,2025-01-22,Kiran Patel,Furniture,Desk,2752.77,732.45,3,0.3,Ahmedabad,Gujarat
ORD100187,2024-12-13,Sanjay Das,Furniture,Table,362.35,90.33,8,0,Chennai,Tamil Nadu
ORD100187,2024-12-13,Sanjay Das,Furniture,Table,362.35,90.33,8,0,Chennai,Tamil Nadu
ORD100189,2023-02-07,Priya Reddy,Office Supplies,Notebook,4335.7,214.04,2,0.3,Pune,Maharashtra
ORD100190,2024-03-23,Arjun Das,Office Supplies,Binder,1728.23,-27.53,8,0.1,Jaipur,Rajasthan
ORD100191,2023-10-01,Aditya Das,Office Supplies,Notebook,2181.51,758.72,3,0.2,Chennai,Tamil Nadu
ORD100192,2023-11-25,Diya Sharma,Office Supplies,Paper,1567.15,268.26,7,0.05,Ahmedabad,Gujarat
ORD100193,2023-12-26,Kavya Sharma,Technology,Keyboard,3093.51,296.12,1,0,Kolkata,West Bengal
ORD100194,2024-01-08,Nisha Das,Technology,Mouse,4766.31,-170.39,10,0.25,Ahmedabad,Gujarat
ORD100195,2023-02-05,Ananya Sharma,Furniture,Desk,1842.65,603.03,1,0.2,Delhi,Delhi
ORD100196,2024-11-26,Kavya Reddy,Office Supplies,Binder,3827.27,605.72,9,0.1,Kolkata,West Bengal
ORD100197,2023-11-18,Sneha Patel,Furniture,Chair,3691.59,459.86,7,0.2,Mumbai,Maharashtra
ORD100198,2023-09-26,Sneha Das,Office Supplies,Pen,4982.01,142.04,8,0.05,Mumbai,Maharashtra
ORD100199,2023-05-19,Aditya Kumar,Furniture,Bookshelf,4986.45,1320.07,6,0.25,Pune,Maharashtra
ORD100200,2024-12-27,Aditya Singh,Technology,Keyboard,4462.09,1263.28,3,0.3,Pune,Maharashtra
ORD100201,2024-06-04,Manoj Sharma,Furniture,Table,1221.84,149.44,6,0.2,Lucknow,Uttar Pradesh
ORD100202,2024-01-13,Kavya Singh,Furniture,Sofa,4427.02,-311.72,7,0.25,Ahmedabad,Gujarat
ORD100203,2024-06-22,Meera Kumar,Technology,Laptop,670.37,28.6,2,0.15,Ahmedabad,Gujarat
ORD100204,2024-11-27,Nisha Reddy,Furniture,Sofa,3216.98,-58.28,3,0.15,Jaipur,Rajasthan
ORD100205,2025-06-08,Vivaan Sharma,Technology,Mouse,1555.42,-42.18,4,0.1,Jaipur,Rajasthan
ORD100206,2023-10-18,Aditya Reddy,Furniture,Sofa,1408.53,255.31,10,0.2,Mumbai,Maharashtra
ORD100207,2024-05-29,Rohan Singh,Technology,Mouse,897.44,162.45,10,0.1,Lucknow,Uttar Pradesh
ORD100208,2023-02-12,Aarav Sharma,Furniture,Sofa,1360.05,-6.99,10,0.15,Lucknow,Uttar Pradesh
ORD100209,2024-10-16,Aarav Kumar,Technology,Printer,1483.87,490.41,8,0.05,Kolkata,West Bengal
ORD100210,2023-11-01,Kavya Sharma,Technology,Laptop,832.5,72.45,8,0.05,Pune,Maharashtra
ORD100211,2024-09-13,Ananya Reddy,Technology,Keyboard,3684.29,1058.68,7,0.05,Pune,Maharashtra
ORD100212,2024-06-11,Vikram Sharma,Office Supplies,Pen,2359.04,48.04,,0.05,Mumbai,Maharashtra
ORD100213,2023-02-21,Rahul Kumar,Technology,Monitor,1278.94,370.11,3,0.3,Pune,Maharashtra
ORD100214,2024-08-14,Kiran Patel,Furniture,Bookshelf,4980.05,548.14,5,0.15,Bengaluru,Karnataka
ORD100215,2023-04-03,Arjun Singh,Office Supplies,Pen,1114.96,65.56,1,0.1,Ahmedabad,Gujarat
ORD100216,2024-09-03,Sanjay Reddy,Technology,Laptop,4243.5,398.54,5,0.25,Pune,Maharashtra
ORD100217,2025-02-21,Arjun Reddy,Furniture,Bookshelf,303.23,46.34,6,0.2,Chennai,Tamil Nadu
ORD100218,2023-03-17,Arjun Singh,Office Supplies,Stapler,1434.62,495.07,10,0,Delhi,Delhi
ORD100219,2023-04-10,Arjun Reddy,Office Supplies,Stapler,4697.8,1126.22,4,0.2,Jaipur,Rajasthan
ORD100220,2024-02-16,Nisha Sharma,Furniture,Chair,728.33,36.32,8,0.2,Ahmedabad,Gujarat
ORD100221,2023-06-02,Aisha Singh,Furniture,Desk,4660.28,201.97,7,0.2,Chennai,Tamil Nadu
ORD100222,2024-08-30,Kiran Singh,Technology,Printer,2474.74,,8,0.3,Bengaluru,Karnataka
ORD100223,2024-01-13,Kiran Das,Furniture,Bookshelf,2939.33,759.93,1,0.2,Ahmedabad,Gujarat
ORD100224,2023-09-29,Pooja Singh,Furniture,Chair,2938.44,-68.38,10,0.3,Kolkata,West Bengal
ORD100225,2023-06-01,Manoj Sharma,Technology,Laptop,994.38,97.91,7,0.05,Kolkata,West Bengal
ORD100226,2024-12-08,Priya Kumar,Technology,Printer,4606.58,1348.66,1,0.25,Delhi,Delhi
ORD100227,2024-06-15,Priya Singh,Office Supplies,Binder,2651.11,109.2,3,0.15,Jaipur,Rajasthan
ORD100228,2023-12-17,Vikram Reddy,Technology,Keyboard,3069.88,-41.39,4,0.1,Jaipur,Rajasthan
ORD100229,2023-11-02,Manoj Reddy,Office Supplies,Pen,3466.69,416.18,8,0.1,Jaipur,Rajasthan
ORD100230,2025-03-25,Sneha Reddy,Furniture,Sofa,3399.28,240.88,7,0.3,Pune,Maharashtra
ORD100231,2025-03-02,Ananya Reddy,Furniture,Desk,4778.8,-307.93,8,0.25,Chennai,Tamil Nadu
ORD100232,2025-02-04,Sanjay Patel,Furniture,Sofa,1392.11,212.86,5,0.05,Mumbai,Maharashtra
ORD100233,2024-09-22,Pooja Patel,Furniture,Chair,3365.68,467.72,4,0,Mumbai,Maharashtra
ORD100234,2024-02-28,Kiran Das,Office Supplies,Notebook,3421.9,-130.51,9,0.05,Kolkata,West Bengal
ORD100235,2024-10-30,Sanjay Kumar,Technology,Mouse,3791.76,110.95,5,0.25,Bengaluru,Karnataka
